messageId;label;content
112014119008704_112150988995017;non relief;"ich hab nichts gegen das Hochwasser
1.schule ausfall
2.wenn es so weiter geht wohnen wir alle in ATLANTIS..."
112014119008704_112249528985163;non relief;Möchte an dieser Stelle all denen in den Hochwassergebieten mein tiefstes Mitgefühl ausdrücken. Ich hoffe mit Euch, dass das Schlimmste überstanden ist
119698928237931_119702351570922;relief;Wie kann man helfen und wie kommt man an die orte die die hilfe brauchen.
119698928237931_119805341560623;non relief;So langsam wird es auch in Bernburg bedrohlich
119698928237931_119806988227125;non relief;Falls jemand aus Querfurt oder Umgebung in die betroffenen Gebiete fährt, bitte bei mir melden. 
119698928237931_119809694893521;non relief;Ist noch ein Durchkommen nach Kleckewitz (sprich Raguhn) Richtung Altjeßnitz raus? Da droht ein Damm zu brechen (wurde NICHT saniert nach 2002)... meine Eltern wohnen dort. Würde gern helfen, aber wie komme ich da noch hin? Bleibt nur parken in Bahnhofsnähe und laufen?
120890141452807_121082401433581;non relief;"Pegelstände 03.06.2013 (08:35)

Elbe, Wittenberge: 460
Elbe, Lenzen: 447
Elbe, Dömitz: 378

Stepenitz, Perleberg: 133

Karthane, Bad Wilsnack: 121

Untere Havel, Havelberg: 235

Schlatbach, Groß Linde: 66

Löcknitz, Gadow: 135"
120890141452807_121082854766869;non relief;"Volksstimme am 06.06.2013

Zivile und militärische Kräfte aus vier Bundesländern trainieren mit ""Quitzöbel 2013"" für den Katastrophenfall an Elbe und Havel
Übung: Für Hochwasserabwehr gut gewappnet

http://www.volksstimme.de/nachrichten/lokal/havelberg/1084895_Uebung-Fuer-Hochwasserabwehr-gut-gewappnet.html"
120890141452807_121089314766223;non relief;Top! Lade mal auch Tiemo Pump ein! :-)
120890141452807_121123544762800;non relief;"Nachricht aus dem Nachbarland, aber ebenfalls die Elbe betreffend:

Heute, 03.06.2013, wird ab 15 Uhr das größte Schützentafelwehr Europas, nahe Pretzien geöffnet. Dadurch wird der Elbe-Umflutkanal freigegeben und ein Drittel des Elbwassers über ihn umgeleitet. Dadurch werden Magedeburg und Umgebung entlastet.
Der ausschlaggebende Pegel in Barby liegt noch 160 Flusskilometer vom Pegel Wittenberge entfernt.

http://www.volksstimme.de/nachrichten/lokal/schoenebeck/1085753_Pretziener-Wehr-wird-heute-gezogen-Experten-erwarten-hohe-Wasserstaende.html

Offizielle Pressemitteilung:
www.ploetzky.de/pretziener-wehr/aktuell/img/R6295048_OEffnung_Pretziner_Wehr.pdf"
120890141452807_121163811425440;non relief;"Nicht über die Zeiten wundern, die Pegel werden nicht ständig aktualisiert gemeldet sondern nur einige Male am Tag, entsprechend können auch nur die Daten genannt werden.

Hier die aktuellen Elbpegel in der Prignitz:
0 = Tendenz konstant, + = Tendenz steigend, - = Tendenz fallend

Scharleuk
03.06.2013 11 Uhr: 480cm
0

Wittenberge
03.06.2013 11 Uhr: 462cm
0

Müggendorf
03.06.2013 11 Uhr: 450cm
+

Schnackenburg
03.06.2013 11 Uhr: 465cm
+

Pegel Lenzen
03.06.2013, 11 Uhr: 450cm
0"
120890141452807_121323844742770;non relief;"Hier die aktuellen Elbpegel in der Prignitz:
0 = Tendenz konstant, + = Tendenz steigend, - = Tendenz fallend
(Da vorhin eine Frage kam: Tendenz bezieht sich bei diesen Angaben auf einen Unterschied von 5cm in 3h, 0 heißt also nicht, dass der Pegel nicht steigt sondern nur langsam.)

Scharleuk
03.06.2013 18 Uhr: 486cm
0

Wittenberge
03.06.2013 18 Uhr: 468cm
+

Müggendorf
03.06.2013 18 Uhr: 471cm
0

Schnackenburg
03.06.2013 18 Uhr: 468cm
0

Pegel Lenzen
03.06.2013, 18 Uhr: 455cm
+"
120890141452807_121331044742050;non relief;"03.06.2013 19:00

Pegelwerte übertreffen Prognosen

Die Prognose der Unteren Wasserbehörde des Landkreis Prignitz vom 30.05.2013 15:00, sagte für Wittenberge für den 03.06.2013 einen Pegel von 460cm voraus. Dieser wurde bereits um 11:00 übertroffen (462cm) und lag um 18:00 bei 468cm.
Der Richtwasserstand für Alarmstufe I (450cm) ist am 02.06.2013 15:00 erreicht worden. Alarmstufe I wird ausgerufen bei 550cm, dieser Wert soll nach Prognosen der Hochwasservorhersagezentrale des Landes Sachsen-Anhalt in der Nacht zu Donnerstag erreicht werden."
120890141452807_121335218074966;non relief;"KORREKTUR:

In der Nachricht vom 03.06.2013 19:00 steht dass Alarmstufe I bei 550cm ausgerufen wird. Dem aufmerksamen Leser wird es aufgefallen sein, andere seien darauf hingewiesen, dass Alarmstufe I unmittelbar davor schon im Text erwähnt wurde und es sich bei 550cm selbstverständlich um Alarmstufe II handelt."
120890141452807_121339791407842;non relief;"Richtwasserstände Elbe - Pegel Wittenberge 

Alarmstufe I     -   450 cm
Alarmstufe II    -   550 cm
Alarmstufe III   -   630 cm
Alarmstufe IV   -   670 cm"
120890141452807_121359928072495;non relief;Bei der informationsFlut die man überall erhält, macht man sich schon große sorgen... Hoffe wir haben wie die letzten Jahre So gute Männer u Frauen der Feuerwehr Wittenberge an den deichen,den die leisten echt jedesmal nen Super Job...
