messageId;content
119698928237931_119702351570922;Wie kann man helfen und wie kommt man an die orte die die hilfe brauchen.
119698928237931_119809694893521;Ist noch ein Durchkommen nach Kleckewitz (sprich Raguhn) Richtung Altjeßnitz raus? Da droht ein Damm zu brechen (wurde NICHT saniert nach 2002)... meine Eltern wohnen dort. Würde gern helfen, aber wie komme ich da noch hin? Bleibt nur parken in Bahnhofsnähe und laufen?
137187686479040_137315153132960;Will niemand helfen? Die Leute brauchen jetzt Hilfe! Nicht wenn alles vorbei ist!
138429446351843_138429449685176;"Jetzt heißt es nicht mehr meckern sondern mal mit anfassen.
Jeder einzelne von euch kann helfen, sei es durch Sachspenden, Transport oder mit anpacken.
In dieser Gruppe ist jeder Willkommen der mich unterstützen möchte und den Leuten in den betroffenen Regionen eine kleine Freude bereiten möchte."
141094429416431_141097019416172;Unter 03525/ 5131-920, -922 und -923 können alle Informationen erfragt und auch Sandsäcke geordert werden. Ebenso können sich Helfer registrieren lassen, auf die bei Bedarf zurückgegriffen werden kann.
144463552415147_144606352400867;"
Hallo.... ich befinde mich momentan in der Schweiz auf Montage und muss mit Bedauern ansehen wie Thüringen absäuft....ich möchte Euch anbieten in irgendeiner Form zu helfen....ab Dienstag, 11.6 bin ich wieder in Sonneberg und würde mit ein paar Helfern meiner Firma Euch unterstützen. Aufräumungsarbeiten, Trocknungen ...alles was anfallen würde. ca 1 Woche könnten wir helfen. Wer was weiss oder Hilfe benötigt...bitte meldet Euch. Gruss Illig Tobias
"
145506268972219_145658312290348;Ihr lieben und fleissigen Helfer es ist zur Zeit sehr schwer etwas richtig zu koordinieren   was die Hilfe angeht da man nirgends hinkommt in die verschiedenen Stadtteile. Geht einfach los und schaut in eurer Nähe wer Hilfe braucht.z.B. einfach mal essen, Getränke zusammenpacken und los gehen die Hilfe wird meistens nicht weit von der eigenen Haustür gebraucht.
145506268972219_145677908955055;"Liebe Helfer habe gerade Rücksprache mit dem BRK Passau gehabt. Kleidung und Sachspenden bitte erstmal bei Euch lassen. In erster Linie geht es momentan um die Evakuierung. Unterkünfte bitte mit Telefonnummer per PN uns zusenden!
Freiwillige Helfer bitte meldet euch  bei den bekannten Stellen melden wie FFW, BRK, THW usw. 
Geldspenden bitte an folgendes Konto:
Rotes Kreuz
Konto:240 000 133
BLZ: 740 500 00   Sparkasse Passau
Verwendungszweck: Hochwasser"
164608047054527_164612860387379;"Für die Stadt Eilenburg besteht ""akute Gefahr für die Überflutung der Stadt"". Das teilte die Stadtverwaltung am Montag um 9 Uhr mit. Helft alle wo ihr könnt!"
164608047054527_164618413720157;Hallo Macht es Sinn nach Eilenburg zu kommen um zu helfen würde in 2,5 h aus Bayern da sein habe einen Kleinbus
