token;reference
Wie;O
kann;O
man;O
helfen;O
und;O
wie;O
kommt;O
man;O
an;O
die;O
orte;O
die;O
die;O
hilfe;O
brauchen;O
Ist;O
noch;O
ein;O
Durchkommen;O
nach;O
Kleckewitz;LOC
sprich;O
Raguhn;LOC
Richtung;O
Altjeßnitz;LOC
raus;O
Da;O
droht;O
ein;O
Damm;O
zu;O
brechen;O
wurde;O
NICHT;O
saniert;O
nach;O
meine;O
Eltern;O
wohnen;O
dort;O
Würde;O
gern;O
helfen;O
aber;O
wie;O
komme;O
ich;O
da;O
noch;O
hin;O
Bleibt;O
nur;O
parken;O
in;O
Bahnhofsnähe;O
und;O
laufen;O
Will;O
niemand;O
helfen;O
Die;O
Leute;O
brauchen;O
jetzt;O
Hilfe;O
Nicht;O
wenn;O
alles;O
vorbei;O
ist;O
Jetzt;O
heißt;O
es;O
nicht;O
mehr;O
meckern;O
sondern;O
mal;O
mit;O
anfassen;O
Jeder;O
einzelne;O
von;O
euch;O
kann;O
helfen;O
sei;O
es;O
durch;O
Sachspenden;O
Transport;O
oder;O
mit;O
anpacken;O
In;O
dieser;O
Gruppe;O
ist;O
jeder;O
Willkommen;O
der;O
mich;O
unterstützen;O
möchte;O
und;O
den;O
Leuten;O
in;O
den;O
betroffenen;O
Regionen;O
eine;O
kleine;O
Freude;O
bereiten;O
möchte;O
Unter;O
und;O
können;O
alle;O
Informationen;O
erfragt;O
und;O
auch;O
Sandsäcke;O
geordert;O
werden;O
Ebenso;O
können;O
sich;O
Helfer;O
registrieren;O
lassen;O
auf;O
die;O
bei;O
Bedarf;O
zurückgegriffen;O
werden;O
kann;O
Hallo;O
ich;O
befinde;O
mich;O
momentan;O
in;O
der;O
Schweiz;LOC
auf;O
Montage;O
und;O
muss;O
mit;O
Bedauern;O
ansehen;O
wie;O
Thüringen;LOC
absäuft;O
ich;O
möchte;O
Euch;O
anbieten;O
in;O
irgendeiner;O
Form;O
zu;O
helfen;O
ab;O
Dienstag;O
bin;O
ich;O
wieder;O
in;O
Sonneberg;LOC
und;O
würde;O
mit;O
ein;O
paar;O
Helfern;O
meiner;O
Firma;O
Euch;O
unterstützen;O
Aufräumungsarbeiten;O
Trocknungen;O
alles;O
was;O
anfallen;O
würde;O
ca;O
Woche;O
könnten;O
wir;O
helfen;O
Wer;O
was;O
weiss;O
oder;O
Hilfe;O
benötigt;O
bitte;O
meldet;O
Euch;O
Gruss;O
Illig;O
Tobias;O
Ihr;O
lieben;O
und;O
fleissigen;O
Helfer;O
es;O
ist;O
zur;O
Zeit;O
sehr;O
schwer;O
etwas;O
richtig;O
zu;O
koordinieren;O
was;O
die;O
Hilfe;O
angeht;O
da;O
man;O
nirgends;O
hinkommt;O
in;O
die;O
verschiedenen;O
Stadtteile;O
Geht;O
einfach;O
los;O
und;O
schaut;O
in;O
eurer;O
Nähe;O
wer;O
Hilfe;O
braucht;O
z;O
B;O
einfach;O
mal;O
essen;O
Getränke;O
zusammenpacken;O
und;O
los;O
gehen;O
die;O
Hilfe;O
wird;O
meistens;O
nicht;O
weit;O
von;O
der;O
eigenen;O
Haustür;O
gebraucht;O
Liebe;O
Helfer;O
habe;O
gerade;O
Rücksprache;O
mit;O
dem;O
BRK;O
Passau;LOC
gehabt;O
Kleidung;O
und;O
Sachspenden;O
bitte;O
erstmal;O
bei;O
Euch;O
lassen;O
In;O
erster;O
Linie;O
geht;O
es;O
momentan;O
um;O
die;O
Evakuierung;O
Unterkünfte;O
bitte;O
mit;O
Telefonnummer;O
per;O
PN;O
uns;O
zusenden;O
Freiwillige;O
Helfer;O
bitte;O
meldet;O
euch;O
bei;O
den;O
bekannten;O
Stellen;O
melden;O
wie;O
FFW;O
BRK;O
THW;O
usw;O
Geldspenden;O
bitte;O
an;O
folgendes;O
Konto;O
Rotes;O
Kreuz;O
Konto;O
BLZ;O
Sparkasse;O
Passau;LOC
Verwendungszweck;O
Hochwasser;O
Für;O
die;O
Stadt;O
Eilenburg;LOC
besteht;O
akute;O
