"token";"pos";"reference";"ner_raw";"token_normalized";"pos_normalized";"ner_norm";"ner_geoname_ne";"ner_geoname_ne_nn";"ner_geoname_ne_nn_prp";"ner_geoname_ne_nn_prp2"
"Wie";"PWAV";"O";"O";"Wie";"PWAV";"O";"O";"O";"O";"O"
"kann";"VMFIN";"O";"O";"kann";"VMFIN";"O";"O";"O";"O";"O"
"man";"PIS";"O";"O";"man";"PIS";"O";"O";"O";"O";"O"
"helfen";"VVINF";"O";"O";"helfen";"VVINF";"O";"O";"O";"O";"O"
"und";"KON";"O";"O";"und";"KON";"O";"O";"O";"O";"O"
"wie";"PWAV";"O";"O";"wie";"PWAV";"O";"O";"O";"O";"O"
"kommt";"VVFIN";"O";"O";"kommt";"VVFIN";"O";"O";"O";"O";"O"
"man";"PIS";"O";"O";"man";"PIS";"O";"O";"O";"O";"O"
"an";"APPR";"O";"O";"an";"APPR";"O";"O";"O";"O";"O"
"die";"ART";"O";"O";"die";"ART";"O";"O";"O";"O";"O"
"orte";"VVFIN";"O";"O";"orte";"VVFIN";"O";"O";"O";"O";"O"
"die";"ART";"O";"O";"die";"ART";"O";"O";"O";"O";"O"
"die";"ART";"O";"O";"die";"ART";"O";"O";"O";"O";"O"
"hilfe";"NN";"O";"O";"Hilfe";"NN";"O";"O";"O";"O";"O"
"brauchen";"VVFIN";"O";"O";"brauchen";"VVFIN";"O";"O";"O";"O";"O"
"Ist";"VAFIN";"O";"O";"Ist";"VAFIN";"O";"O";"O";"O";"O"
"noch";"ADV";"O";"O";"noch";"ADV";"O";"O";"O";"O";"O"
"ein";"ART";"O";"O";"ein";"ART";"O";"O";"O";"O";"O"
"Durchkommen";"NN";"O";"O";"Durchkommen";"NN";"O";"O";"O";"O";"O"
"nach";"APPR";"O";"O";"nach";"APPR";"O";"O";"O";"O";"O"
"Kleckewitz";"NN";"LOC";"LOC";"Kleckewitz";"NN";"LOC";"LOC";"LOC";"LOC";"LOC"
"sprich";"VVIMP";"O";"O";"sprich";"VVIMP";"O";"O";"O";"O";"O"
"Raguhn";"NE";"LOC";"O";"Raguhn";"NE";"O";"LOC";"LOC";"LOC";"LOC"
"Richtung";"NN";"O";"O";"Richtung";"NN";"O";"O";"O";"O";"O"
"Altjeßnitz";"NN";"LOC";"O";"Altjeßnitz";"NN";"O";"O";"LOC";"O";"O"
"raus";"ADV";"O";"O";"raus";"ADV";"O";"O";"O";"O";"O"
"Da";"ADV";"O";"O";"Da";"ADV";"O";"O";"O";"O";"O"
"droht";"VVFIN";"O";"O";"droht";"VVFIN";"O";"O";"O";"O";"O"
"ein";"ART";"O";"O";"ein";"ART";"O";"O";"O";"O";"O"
"Damm";"NN";"O";"O";"Damm";"NN";"O";"O";"LOC";"O";"O"
"zu";"PTKZU";"O";"O";"zu";"PTKZU";"O";"O";"O";"O";"O"
"brechen";"VVINF";"O";"O";"brechen";"VVINF";"O";"O";"O";"O";"O"
"wurde";"VAFIN";"O";"O";"wurde";"VAFIN";"O";"O";"O";"O";"O"
"NICHT";"NN";"O";"O";"Nicht";"PTKNEG";"O";"O";"O";"O";"O"
"saniert";"VVPP";"O";"O";"saniert";"VVPP";"O";"O";"O";"O";"O"
"nach";"APPR";"O";"O";"nach";"APPR";"O";"O";"O";"O";"O"
"meine";"PPOSAT";"O";"O";"meine";"PPOSAT";"O";"O";"O";"O";"O"
"Eltern";"NN";"O";"O";"Eltern";"NN";"O";"O";"LOC";"O";"O"
"wohnen";"VVFIN";"O";"O";"wohnen";"VVFIN";"O";"O";"O";"O";"O"
"dort";"ADV";"O";"O";"dort";"ADV";"O";"O";"O";"O";"O"
"Würde";"NN";"O";"O";"Würde";"NN";"O";"O";"O";"O";"O"
"gern";"ADV";"O";"O";"gern";"ADV";"O";"O";"O";"O";"O"
"helfen";"VVFIN";"O";"O";"helfen";"VVFIN";"O";"O";"O";"O";"O"
"aber";"ADV";"O";"O";"aber";"ADV";"O";"O";"O";"O";"O"
"wie";"KOKOM";"O";"O";"wie";"KOKOM";"O";"O";"O";"O";"O"
"komme";"VVFIN";"O";"O";"komme";"VVFIN";"O";"O";"O";"O";"O"
"ich";"PPER";"O";"O";"ich";"PPER";"O";"O";"O";"O";"O"
"da";"ADV";"O";"O";"da";"ADV";"O";"O";"O";"O";"O"
"noch";"ADV";"O";"O";"noch";"ADV";"O";"O";"O";"O";"O"
